customer_id,name,city,country,age
1,Brent Rhodes,New Timothy,Argentina,58
2,Amber Alexander,New Steven,Mexico,48
3,Nicole Jenkins,Lake Mitchellton,Argentina,65
4,Kevin Castro,North Scottbury,Colombia,67
5,Sheri Manning,South Christopherfurt,Colombia,50
6,Mary Jackson,Lake Michael,Colombia,46
7,Andrew Hutchinson,Port Lindsay,Mexico,41
8,Connor Wright,Grahamland,Mexico,22
9,Jessica Miller,Larryfurt,Mexico,53
10,Luis Trujillo,East Stevenville,Mexico,32
11,Ronald Reed,Kevinview,Colombia,41
12,Amber Ross,Nicoleburgh,Colombia,66
13,Michael Collins,Howardside,Argentina,33
14,Jeffrey Odonnell PhD,Michelleberg,Mexico,70
15,Mary Bennett,Port Yvetteland,Colombia,60
16,Brenda Blevins,Fernandoview,Colombia,29
17,Billy Conley,Lake Jessica,Colombia,66
18,Jesus Mejia,Jeffreybury,Argentina,48
19,Lori Brown,New Johnfort,Mexico,42
20,Matthew Woods,North Michaelville,Mexico,27
